weight_monotonicity, weight_smoothness, weight_empty, weight_max_corner, weight_max_tile, weight_node_average, weight_node_access, score, max_tile
2.14, 2.07, 1.82, 0.7, 0.53, 0.13, 0.17, 6964, 512
2.14, 2.07, 1.82, 0.7, 0.53, 0.13, 0.17, 6948, 512
2.54, 2.34, 1.91, 1.05, 1.31, 0.57, 0.29, 3020, 256
2.54, 2.34, 1.91, 1.05, 1.31, 0.57, 0.29, 5064, 512
2.54, 2.34, 1.91, 1.05, 1.31, 0.57, 0.29, 6428, 512
2.54, 2.34, 1.91, 1.05, 1.31, 0.57, 0.29, 6616, 512
2.54, 2.34, 1.91, 1.05, 1.31, 0.57, 0.29, 11284, 1024
1.28, 0.58, 1.74, 0.56, 0.68, 1.58, 0.35, 2940, 256
1.28, 0.58, 1.74, 0.56, 0.68, 1.58, 0.35, 3332, 256
1.28, 0.58, 1.74, 0.56, 0.68, 1.58, 0.35, 7084, 512
1.28, 0.58, 1.74, 0.56, 0.68, 1.58, 0.35, 10380, 1024
1.28, 0.58, 1.74, 0.56, 0.68, 1.58, 0.35, 11988, 1024
2.78, 2.61, 1.47, 1.28, 0.62, 0.5, 0.35, 3032, 256
2.78, 2.61, 1.47, 1.28, 0.62, 0.5, 0.35, 4532, 256
2.78, 2.61, 1.47, 1.28, 0.62, 0.5, 0.35, 5592, 512
2.78, 2.61, 1.47, 1.28, 0.62, 0.5, 0.35, 6928, 512
2.78, 2.61, 1.47, 1.28, 0.62, 0.5, 0.35, 7112, 512
1.56, 1.8, 1.05, 1.26, 1.28, 0.27, 0.35, 2580, 256
1.56, 1.8, 1.05, 1.26, 1.28, 0.27, 0.35, 4408, 256
1.56, 1.8, 1.05, 1.26, 1.28, 0.27, 0.35, 7800, 512
1.56, 1.8, 1.05, 1.26, 1.28, 0.27, 0.35, 11356, 1024
1.56, 1.8, 1.05, 1.26, 1.28, 0.27, 0.35, 15136, 1024
1.9, 2.93, 0.62, 0.68, 0.82, 1.85, 0.36, 6084, 512
1.9, 2.93, 0.62, 0.68, 0.82, 1.85, 0.36, 6452, 512
1.9, 2.93, 0.62, 0.68, 0.82, 1.85, 0.36, 6952, 512
1.9, 2.93, 0.62, 0.68, 0.82, 1.85, 0.36, 8672, 512
1.9, 2.93, 0.62, 0.68, 0.82, 1.85, 0.36, 10516, 1024
2.02, 0.8, 1.61, 0.72, 1.25, 1.87, 0.1, 4620, 512
2.02, 0.8, 1.61, 0.72, 1.25, 1.87, 0.1, 6748, 512
2.02, 0.8, 1.61, 0.72, 1.25, 1.87, 0.1, 10380, 512
